title,datetime_obj,raw_date_string,tickets_url,promoter,venue,genres,tier_1,tier_2,tier_3,full_description,event_card_all_text,_quality,extractionMethod,page_year_context,scrapedAt,artists,json_ld_description,json_ld_url,location
elrow Ibiza | Nowmads New World,2025-06-14T23:30:00,2025-06-14T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335317Z,[],"elrow Ibiza | Nowmads New World on 14 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Hallucinarium,2025-06-21T23:30:00,2025-06-21T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335365Z,[],"elrow Ibiza | Hallucinarium on 21 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Nowmads New World,2025-06-28T23:30:00,2025-06-28T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335406Z,[],"elrow Ibiza | Nowmads New World on 28 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Hallucinarium,2025-07-05T23:30:00,2025-07-05T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335444Z,[],"elrow Ibiza | Hallucinarium on 5 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Neo Kaos Garden,2025-07-12T23:30:00,2025-07-12T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335481Z,[],"elrow Ibiza | Neo Kaos Garden on 12 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Hallucinarium,2025-07-19T23:30:00,2025-07-19T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335519Z,[],"elrow Ibiza | Hallucinarium on 19 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Neo Kaos Garden,2025-07-26T23:30:00,2025-07-26T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335555Z,[],"elrow Ibiza | Neo Kaos Garden on 26 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | BBC Radio 1 Dance X,2025-08-02T23:30:00,2025-08-02T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335592Z,[],"elrow Ibiza | BBC Radio 1 Dance X on 2 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Neo Kaos Garden,2025-08-09T23:30:00,2025-08-09T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335628Z,[],"elrow Ibiza | Neo Kaos Garden on 9 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Nowmads New World,2025-08-16T23:30:00,2025-08-16T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335664Z,[],"elrow Ibiza | Nowmads New World on 16 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Neo Kaos Garden,2025-08-23T23:30:00,2025-08-23T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335700Z,[],"elrow Ibiza | Neo Kaos Garden on 23 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Hallucinarium,2025-08-30T23:30:00,2025-08-30T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335736Z,[],"elrow Ibiza | Hallucinarium on 30 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Nowmads New World,2025-09-06T23:30:00,2025-09-06T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335772Z,[],"elrow Ibiza | Nowmads New World on 6 Sept 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Neo Kaos Garden,2025-09-13T23:30:00,2025-09-13T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335807Z,[],"elrow Ibiza | Neo Kaos Garden on 13 Sept 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Nowmads New World,2025-09-20T23:30:00,2025-09-20T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335842Z,[],"elrow Ibiza | Nowmads New World on 20 Sept 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza | Neo Kaos Garden,2025-09-27T23:30:00,2025-09-27T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335885Z,[],"elrow Ibiza | Neo Kaos Garden on 27 Sept 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
elrow Ibiza Closing Party | New Theme TBA,2025-10-04T23:30:00,2025-10-04T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335924Z,[],"elrow Ibiza Closing Party | New Theme TBA on 4 Oct 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0 Opening Party,2025-06-02T23:30:00,2025-06-02T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924670Z,[],"Eric Prydz presents Holosphere 2.0 Opening Party on 2 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-06-09T23:30:00,2025-06-09T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924731Z,[],"Eric Prydz presents Holosphere 2.0 on 9 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-06-16T23:30:00,2025-06-16T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924777Z,[],"Eric Prydz presents Holosphere 2.0 on 16 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-06-23T23:30:00,2025-06-23T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924818Z,[],"Eric Prydz presents Holosphere 2.0 on 23 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-06-30T23:30:00,2025-06-30T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924858Z,[],"Eric Prydz presents Holosphere 2.0 on 30 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-07-07T23:30:00,2025-07-07T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924897Z,[],"Eric Prydz presents Holosphere 2.0 on 7 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-07-14T23:30:00,2025-07-14T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924935Z,[],"Eric Prydz presents Holosphere 2.0 on 14 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-07-21T23:30:00,2025-07-21T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.924974Z,[],"Eric Prydz presents Holosphere 2.0 on 21 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-07-28T23:30:00,2025-07-28T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.925017Z,[],"Eric Prydz presents Holosphere 2.0 on 28 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-08-04T23:30:00,2025-08-04T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.925057Z,[],"Eric Prydz presents Holosphere 2.0 on 4 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-08-11T23:30:00,2025-08-11T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.925099Z,[],"Eric Prydz presents Holosphere 2.0 on 11 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-08-18T23:30:00,2025-08-18T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.925137Z,[],"Eric Prydz presents Holosphere 2.0 on 18 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0,2025-08-25T23:30:00,2025-08-25T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.925175Z,[],"Eric Prydz presents Holosphere 2.0 on 25 Aug 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Eric Prydz presents Holosphere 2.0 Closing Party,2025-09-01T23:30:00,2025-09-01T23:30,https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,eric-prydz-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:06.925215Z,[],"Eric Prydz presents Holosphere 2.0 Closing Party on 1 Sept 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/eric-prydz-unvrs,[UNVRS]
Sara Landry presents Eternalism,2025-09-29T23:30:00,2025-09-29T23:30,https://www.ibiza-spotlight.com/night/promoters/sara-landry-unvrs,sara-landry-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:13.612286Z,[],"Sara Landry presents Eternalism on 29 Sept 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/sara-landry-unvrs,[UNVRS]
FISHER Opening Party,2025-06-05T23:30:00,2025-06-05T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602165Z,[],"FISHER Opening Party on 5 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-06-12T23:30:00,2025-06-12T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602229Z,[],"FISHER on 12 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-06-19T23:30:00,2025-06-19T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602273Z,[],"FISHER on 19 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-06-26T23:30:00,2025-06-26T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602314Z,[],"FISHER on 26 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-07-03T23:30:00,2025-07-03T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602354Z,[],"FISHER on 3 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-07-10T23:30:00,2025-07-10T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602391Z,[],"FISHER on 10 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-07-17T23:30:00,2025-07-17T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602428Z,[],"FISHER on 17 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
FISHER,2025-07-24T23:30:00,2025-07-24T23:30,https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,fisher-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:48:21.602464Z,[],"FISHER on 24 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/fisher-unvrs,[UNVRS]
